File: dedupcost-woven
Type: alloc_objects
Time: 2026-09-23 16:09:09 CEST
Active filters:
   focus=iast/database/sql.Report$
Showing nodes accounting for 38500, 35.61% of 108106 total
      flat  flat%   sum%        cum   cum%
       500  0.46% 30.53%        500  0.46%  github.com/DataDog/dd-iast-go/internal/taint/evidence.(*Snapshot).reindexSources
         0     0% 30.53%        500  0.46%  github.com/DataDog/dd-iast-go/internal/vulnerability.selectTaintedAnnotation
       500  0.46% 30.99%        500  0.46%  github.com/DataDog/dd-iast-go/internal/vulnerability/stacktrace.LocationFromFrame
         0     0% 30.99%        500  0.46%  github.com/DataDog/dd-trace-go/v2/ddtrace/tracer.SpanFromContext
         0     0% 30.99%        500  0.46%  github.com/DataDog/dd-trace-go/v2/instrumentation.WithStackTraceDepth
         0     0% 30.99%        500  0.46%  github.com/DataDog/dd-trace-go/v2/instrumentation.WithStackTraceID
         0     0% 30.99%        500  0.46%  github.com/DataDog/dd-trace-go/v2/instrumentation.WithStackTraceSkip
       500  0.46% 31.45%        500  0.46%  github.com/DataDog/dd-trace-go/v2/internal/orchestrion.WrapContext (inline)
         0     0% 31.45%        500  0.46%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.(*framesIterator).Next
         0     0% 31.45%        500  0.46%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.(*framesIterator).next
       500  0.46% 31.91%        500  0.46%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.(*framesIterator).symbolicateFrames
       500  0.46% 32.38%        500  0.46%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.WithAdditionalSkip (inline)
       500  0.46% 32.84%        500  0.46%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.WithDepth (inline)
       500  0.46% 33.30%        500  0.46%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.WithID (inline)
       500  0.46% 33.76%        500  0.46%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.WithSkip (inline)
       500  0.46% 34.23%        500  0.46%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.newQueue[go.shape.struct { Text string "msg:\"text,omitempty\""; File string "msg:\"file,omitempty\""; Namespace string "msg:\"namespace,omitempty\""; ClassName string "msg:\"class_name,omitempty\""; Function string "msg:\"function,omitempty\""; Index uint32 "msg:\"id\""; Line uint32 "msg:\"line,omitempty\""; Column uint32 "msg:\"column,omitempty\"" }] (inline)
         0     0% 34.23%        500  0.46%  github.com/google/uuid.NewRandom
       500  0.46% 34.69%        500  0.46%  github.com/google/uuid.NewRandomFromReader
       500  0.46% 35.15%        500  0.46%  github.com/google/uuid.UUID.String (inline)
       500  0.46% 35.61%        500  0.46%  hash/fnv.New32a (inline)
