fuzz: elapsed: 0s, gathering baseline coverage: 0/177 completed
fuzz: elapsed: 4m45s, execs: 480122 (2716/sec), new interesting: 605 (total: 782)
fuzz: elapsed: 4m48s, execs: 480122 (0/sec), new interesting: 605 (total: 782)
fuzz: elapsed: 4m51s, execs: 480122 (0/sec), new interesting: 605 (total: 782)
fuzz: elapsed: 4m54s, execs: 498862 (6247/sec), new interesting: 619 (total: 796)
fuzz: elapsed: 4m57s, execs: 501112 (750/sec), new interesting: 623 (total: 800)
fuzz: elapsed: 5m0s, execs: 501112 (0/sec), new interesting: 623 (total: 800)
fuzz: elapsed: 5m3s, execs: 501112 (0/sec), new interesting: 623 (total: 800)
fuzz: elapsed: 5m6s, execs: 501112 (0/sec), new interesting: 623 (total: 800)
fuzz: elapsed: 5m9s, execs: 501112 (0/sec), new interesting: 623 (total: 800)
fuzz: elapsed: 5m12s, execs: 501112 (0/sec), new interesting: 623 (total: 800)
fuzz: elapsed: 5m15s, execs: 501112 (0/sec), new interesting: 623 (total: 800)
fuzz: elapsed: 5m18s, execs: 501112 (0/sec), new interesting: 623 (total: 800)
fuzz: elapsed: 5m21s, execs: 501112 (0/sec), new interesting: 623 (total: 800)
fuzz: elapsed: 5m24s, execs: 501112 (0/sec), new interesting: 623 (total: 800)
fuzz: elapsed: 5m27s, execs: 501112 (0/sec), new interesting: 623 (total: 800)
fuzz: elapsed: 5m30s, execs: 501112 (0/sec), new interesting: 623 (total: 800)
fuzz: elapsed: 5m33s, execs: 573359 (24076/sec), new interesting: 627 (total: 804)
fuzz: elapsed: 5m36s, execs: 573359 (0/sec), new interesting: 627 (total: 804)
fuzz: elapsed: 5m39s, execs: 581720 (2787/sec), new interesting: 630 (total: 807)
fuzz: elapsed: 5m42s, execs: 583732 (671/sec), new interesting: 635 (total: 812)
fuzz: elapsed: 5m45s, execs: 584410 (226/sec), new interesting: 636 (total: 813)
fuzz: elapsed: 5m48s, execs: 587341 (977/sec), new interesting: 642 (total: 819)
fuzz: elapsed: 5m51s, execs: 589033 (564/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 5m54s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 5m57s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m0s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m3s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m6s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m9s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m12s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m15s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m18s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m21s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m24s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m27s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m30s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m33s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m36s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m39s, execs: 589033 (0/sec), new interesting: 648 (total: 825)
fuzz: elapsed: 6m42s, execs: 589059 (9/sec), new interesting: 649 (total: 826)
fuzz: elapsed: 6m45s, execs: 590311 (417/sec), new interesting: 652 (total: 829)
fuzz: elapsed: 6m48s, execs: 592250 (647/sec), new interesting: 655 (total: 832)
fuzz: elapsed: 6m51s, execs: 593383 (378/sec), new interesting: 662 (total: 839)
fuzz: elapsed: 6m54s, execs: 598808 (1806/sec), new interesting: 674 (total: 851)
fuzz: elapsed: 6m57s, execs: 603139 (1445/sec), new interesting: 685 (total: 862)
fuzz: elapsed: 7m0s, execs: 607077 (1313/sec), new interesting: 694 (total: 871)
fuzz: elapsed: 7m3s, execs: 609684 (869/sec), new interesting: 703 (total: 880)
fuzz: elapsed: 7m6s, execs: 610084 (133/sec), new interesting: 705 (total: 882)
fuzz: elapsed: 7m9s, execs: 610084 (0/sec), new interesting: 705 (total: 882)
fuzz: elapsed: 7m12s, execs: 610084 (0/sec), new interesting: 705 (total: 882)
fuzz: elapsed: 7m15s, execs: 610084 (0/sec), new interesting: 705 (total: 882)
fuzz: elapsed: 7m18s, execs: 610084 (0/sec), new interesting: 705 (total: 882)
fuzz: elapsed: 7m21s, execs: 610084 (0/sec), new interesting: 705 (total: 882)
fuzz: elapsed: 7m24s, execs: 610084 (0/sec), new interesting: 705 (total: 882)
fuzz: elapsed: 7m27s, execs: 610084 (0/sec), new interesting: 705 (total: 882)
fuzz: elapsed: 7m30s, execs: 610084 (0/sec), new interesting: 705 (total: 882)
fuzz: elapsed: 7m33s, execs: 610084 (0/sec), new interesting: 705 (total: 882)
fuzz: elapsed: 7m36s, execs: 610084 (0/sec), new interesting: 705 (total: 882)
fuzz: elapsed: 7m39s, execs: 621226 (3715/sec), new interesting: 706 (total: 883)
fuzz: elapsed: 7m42s, execs: 624808 (1194/sec), new interesting: 718 (total: 895)
fuzz: elapsed: 7m45s, execs: 624808 (0/sec), new interesting: 718 (total: 895)
fuzz: elapsed: 7m48s, execs: 631263 (2153/sec), new interesting: 719 (total: 896)
fuzz: elapsed: 7m51s, execs: 636561 (1766/sec), new interesting: 732 (total: 909)
fuzz: elapsed: 7m54s, execs: 638672 (704/sec), new interesting: 737 (total: 914)
fuzz: elapsed: 7m57s, execs: 642610 (1313/sec), new interesting: 740 (total: 917)
fuzz: elapsed: 8m0s, execs: 646769 (1386/sec), new interesting: 755 (total: 932)
fuzz: elapsed: 8m3s, execs: 651853 (1696/sec), new interesting: 761 (total: 938)
fuzz: elapsed: 8m6s, execs: 657239 (1795/sec), new interesting: 781 (total: 958)
fuzz: elapsed: 8m9s, execs: 657571 (111/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m12s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m15s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m18s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m21s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m24s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m27s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m30s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m33s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m36s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m39s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m42s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m45s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m48s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m51s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m54s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 8m57s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 9m0s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
fuzz: elapsed: 9m3s, execs: 657571 (0/sec), new interesting: 782 (total: 959)
