fuzz: elapsed: 0s, gathering baseline coverage: 0/3 completed
fuzz: elapsed: 5m15s, execs: 4634868 (12144/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m18s, execs: 4664689 (9931/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m21s, execs: 4675576 (3623/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m24s, execs: 4705282 (9925/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m27s, execs: 4746611 (13776/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m30s, execs: 4792849 (15415/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m33s, execs: 4839606 (15583/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m36s, execs: 4890299 (16900/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m39s, execs: 4923877 (11191/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m42s, execs: 4937349 (4491/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m45s, execs: 4970304 (10985/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m48s, execs: 5017359 (15685/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m51s, execs: 5075233 (19295/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m54s, execs: 5122822 (15862/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m57s, execs: 5168993 (15392/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m0s, execs: 5225089 (18695/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m3s, execs: 5280613 (18509/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m6s, execs: 5338276 (19219/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m9s, execs: 5402049 (21265/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m12s, execs: 5464697 (20876/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m15s, execs: 5528269 (21197/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m18s, execs: 5591795 (21170/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m21s, execs: 5652014 (20071/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m24s, execs: 5716376 (21461/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m27s, execs: 5780126 (21247/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m30s, execs: 5830158 (16674/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m33s, execs: 5881730 (17191/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m36s, execs: 5938451 (18907/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m39s, execs: 6002063 (21204/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m42s, execs: 6065948 (21295/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m45s, execs: 6131205 (21752/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m48s, execs: 6190409 (19735/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m51s, execs: 6247523 (19038/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m54s, execs: 6312573 (21683/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 6m57s, execs: 6377316 (21583/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m0s, execs: 6436997 (19892/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m3s, execs: 6498661 (20555/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m6s, execs: 6559469 (20269/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m9s, execs: 6623075 (21202/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m12s, execs: 6686521 (21149/sec), new interesting: 33 (total: 36)
