go version go1.26.6 darwin/arm64
fuzz: elapsed: 0s, gathering baseline coverage: 0/4 completed
fuzz: elapsed: 5m42s, execs: 2553009 (1806/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 5m45s, execs: 2557443 (1478/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 5m48s, execs: 2563055 (1870/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 5m51s, execs: 2571335 (2761/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 5m54s, execs: 2582626 (3764/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 5m57s, execs: 2590945 (2769/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m0s, execs: 2599988 (3017/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m3s, execs: 2608664 (2892/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m6s, execs: 2620664 (4001/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m9s, execs: 2631402 (3575/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m12s, execs: 2642330 (3646/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m15s, execs: 2655579 (4417/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m18s, execs: 2668637 (4351/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m21s, execs: 2684573 (5311/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m24s, execs: 2706183 (7207/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m27s, execs: 2746601 (13474/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m30s, execs: 2791391 (14925/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m33s, execs: 2831393 (13334/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m36s, execs: 2869953 (12853/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m39s, execs: 2910201 (13420/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 6m42s, execs: 2953571 (14455/sec), new interesting: 313 (total: 317)
fuzz: elapsed: 6m45s, execs: 2990515 (12305/sec), new interesting: 314 (total: 318)
fuzz: elapsed: 6m48s, execs: 3002254 (3914/sec), new interesting: 314 (total: 318)
fuzz: elapsed: 6m51s, execs: 3015643 (4464/sec), new interesting: 314 (total: 318)
fuzz: elapsed: 6m54s, execs: 3038632 (7664/sec), new interesting: 314 (total: 318)
fuzz: elapsed: 6m57s, execs: 3072134 (11169/sec), new interesting: 314 (total: 318)
fuzz: elapsed: 7m0s, execs: 3104607 (10826/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m3s, execs: 3132139 (9179/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m6s, execs: 3142453 (3437/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m9s, execs: 3165136 (7559/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m12s, execs: 3172707 (2525/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m15s, execs: 3184485 (3925/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m18s, execs: 3188690 (1401/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m21s, execs: 3193314 (1542/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m24s, execs: 3206082 (4258/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m27s, execs: 3219343 (4419/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m30s, execs: 3244745 (8471/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m33s, execs: 3270260 (8495/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m36s, execs: 3298695 (9490/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m39s, execs: 3335141 (12145/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m42s, execs: 3371661 (12175/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m45s, execs: 3408543 (12295/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m48s, execs: 3447104 (12854/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m51s, execs: 3484522 (12472/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m54s, execs: 3525571 (13682/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 7m57s, execs: 3566126 (13517/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 8m0s, execs: 3601045 (11641/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 8m3s, execs: 3610137 (3026/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 8m6s, execs: 3628393 (6095/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 8m9s, execs: 3662144 (11250/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 8m12s, execs: 3706202 (14688/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 8m15s, execs: 3726243 (6679/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 8m18s, execs: 3756114 (9956/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 8m21s, execs: 3764719 (2867/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 8m24s, execs: 3769937 (1741/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 8m27s, execs: 3774646 (1568/sec), new interesting: 316 (total: 320)
fuzz: elapsed: 8m30s, execs: 3778987 (1448/sec), new interesting: 317 (total: 321)
fuzz: elapsed: 8m33s, execs: 3786735 (2581/sec), new interesting: 317 (total: 321)
fuzz: elapsed: 8m36s, execs: 3798773 (4014/sec), new interesting: 317 (total: 321)
fuzz: elapsed: 8m39s, execs: 3827593 (9614/sec), new interesting: 317 (total: 321)
fuzz: elapsed: 8m42s, execs: 3861170 (11194/sec), new interesting: 317 (total: 321)
fuzz: elapsed: 8m45s, execs: 3903400 (14073/sec), new interesting: 317 (total: 321)
fuzz: elapsed: 8m48s, execs: 3945274 (13962/sec), new interesting: 317 (total: 321)
fuzz: elapsed: 8m51s, execs: 3990115 (14942/sec), new interesting: 317 (total: 321)
fuzz: elapsed: 8m54s, execs: 4034354 (14747/sec), new interesting: 317 (total: 321)
fuzz: elapsed: 8m57s, execs: 4075136 (13594/sec), new interesting: 318 (total: 322)
fuzz: elapsed: 9m0s, execs: 4102104 (8988/sec), new interesting: 318 (total: 322)
fuzz: elapsed: 9m3s, execs: 4108043 (1981/sec), new interesting: 318 (total: 322)
fuzz: elapsed: 9m6s, execs: 4116513 (2822/sec), new interesting: 318 (total: 322)
fuzz: elapsed: 9m9s, execs: 4135333 (6264/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m12s, execs: 4162312 (9006/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m15s, execs: 4195177 (10959/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m18s, execs: 4224712 (9843/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m21s, execs: 4245672 (6987/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m24s, execs: 4257983 (4101/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m27s, execs: 4264314 (2113/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m30s, execs: 4267158 (948/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m33s, execs: 4270438 (1091/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m36s, execs: 4273683 (1084/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m39s, execs: 4280415 (2244/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m42s, execs: 4287049 (2212/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m45s, execs: 4298860 (3937/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m48s, execs: 4323162 (8098/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m51s, execs: 4352273 (9703/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m54s, execs: 4368368 (5361/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 9m57s, execs: 4387136 (6262/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 10m0s, execs: 4418853 (10572/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 10m3s, execs: 4455252 (12130/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 10m6s, execs: 4491836 (12194/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 10m9s, execs: 4533849 (14009/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 10m12s, execs: 4577429 (14523/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 10m15s, execs: 4621811 (14793/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 10m18s, execs: 4656948 (11710/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 10m21s, execs: 4668166 (3739/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 10m24s, execs: 4687559 (6466/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 10m27s, execs: 4725146 (12529/sec), new interesting: 319 (total: 323)
fuzz: elapsed: 10m30s, execs: 4766466 (13773/sec), new interesting: 320 (total: 324)
fuzz: elapsed: 10m33s, execs: 4804788 (12778/sec), new interesting: 320 (total: 324)
fuzz: elapsed: 10m36s, execs: 4840848 (12021/sec), new interesting: 320 (total: 324)
