go version go1.26.6 darwin/arm64
fuzz: elapsed: 1s, gathering baseline coverage: 0/1178 completed
fuzz: elapsed: 6m16s, execs: 3399862 (9053/sec), new interesting: 204 (total: 1382)
fuzz: elapsed: 6m19s, execs: 3429056 (9731/sec), new interesting: 204 (total: 1382)
fuzz: elapsed: 6m22s, execs: 3457807 (9585/sec), new interesting: 204 (total: 1382)
fuzz: elapsed: 6m25s, execs: 3485979 (9390/sec), new interesting: 204 (total: 1382)
fuzz: elapsed: 6m28s, execs: 3512915 (8978/sec), new interesting: 204 (total: 1382)
fuzz: elapsed: 6m31s, execs: 3540816 (9300/sec), new interesting: 205 (total: 1383)
fuzz: elapsed: 6m34s, execs: 3569952 (9713/sec), new interesting: 205 (total: 1383)
fuzz: elapsed: 6m37s, execs: 3598742 (9599/sec), new interesting: 205 (total: 1383)
fuzz: elapsed: 6m40s, execs: 3625954 (9068/sec), new interesting: 205 (total: 1383)
fuzz: elapsed: 6m43s, execs: 3653751 (9266/sec), new interesting: 205 (total: 1383)
fuzz: elapsed: 6m46s, execs: 3683175 (9808/sec), new interesting: 205 (total: 1383)
fuzz: elapsed: 6m49s, execs: 3711431 (9419/sec), new interesting: 206 (total: 1384)
fuzz: elapsed: 6m52s, execs: 3739942 (9504/sec), new interesting: 206 (total: 1384)
fuzz: elapsed: 6m55s, execs: 3768985 (9683/sec), new interesting: 206 (total: 1384)
fuzz: elapsed: 6m58s, execs: 3795777 (8929/sec), new interesting: 206 (total: 1384)
fuzz: elapsed: 7m1s, execs: 3819846 (8023/sec), new interesting: 206 (total: 1384)
fuzz: elapsed: 7m4s, execs: 3846920 (9026/sec), new interesting: 206 (total: 1384)
fuzz: elapsed: 7m7s, execs: 3875364 (9481/sec), new interesting: 207 (total: 1385)
fuzz: elapsed: 7m10s, execs: 3901002 (8546/sec), new interesting: 207 (total: 1385)
fuzz: elapsed: 7m13s, execs: 3928475 (9158/sec), new interesting: 207 (total: 1385)
fuzz: elapsed: 7m16s, execs: 3956743 (9421/sec), new interesting: 207 (total: 1385)
fuzz: elapsed: 7m19s, execs: 3985772 (9676/sec), new interesting: 207 (total: 1385)
fuzz: elapsed: 7m22s, execs: 4014202 (9477/sec), new interesting: 207 (total: 1385)
fuzz: elapsed: 7m25s, execs: 4042130 (9312/sec), new interesting: 207 (total: 1385)
fuzz: elapsed: 7m28s, execs: 4070560 (9475/sec), new interesting: 207 (total: 1385)
fuzz: elapsed: 7m31s, execs: 4095819 (8419/sec), new interesting: 207 (total: 1385)
fuzz: elapsed: 7m34s, execs: 4122566 (8918/sec), new interesting: 208 (total: 1386)
fuzz: elapsed: 7m37s, execs: 4148315 (8583/sec), new interesting: 208 (total: 1386)
fuzz: elapsed: 7m40s, execs: 4174790 (8823/sec), new interesting: 208 (total: 1386)
fuzz: elapsed: 7m43s, execs: 4203396 (9536/sec), new interesting: 208 (total: 1386)
fuzz: elapsed: 7m46s, execs: 4228928 (8510/sec), new interesting: 208 (total: 1386)
fuzz: elapsed: 7m49s, execs: 4256313 (9131/sec), new interesting: 208 (total: 1386)
fuzz: elapsed: 7m52s, execs: 4282635 (8773/sec), new interesting: 208 (total: 1386)
fuzz: elapsed: 7m55s, execs: 4310631 (9332/sec), new interesting: 208 (total: 1386)
fuzz: elapsed: 7m58s, execs: 4336524 (8630/sec), new interesting: 208 (total: 1386)
fuzz: elapsed: 8m1s, execs: 4365944 (9810/sec), new interesting: 208 (total: 1386)
fuzz: elapsed: 8m4s, execs: 4394188 (9412/sec), new interesting: 208 (total: 1386)
fuzz: elapsed: 8m7s, execs: 4421325 (9046/sec), new interesting: 208 (total: 1386)
fuzz: elapsed: 8m10s, execs: 4449441 (9375/sec), new interesting: 208 (total: 1386)
fuzz: elapsed: 8m13s, execs: 4476640 (9065/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m16s, execs: 4504627 (9328/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m19s, execs: 4532559 (9311/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m22s, execs: 4559834 (9093/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m25s, execs: 4586520 (8893/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m28s, execs: 4613105 (8864/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m31s, execs: 4638440 (8443/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m34s, execs: 4666206 (9258/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m37s, execs: 4692663 (8817/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m40s, execs: 4719520 (8955/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m43s, execs: 4745109 (8528/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m46s, execs: 4770894 (8597/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m49s, execs: 4786004 (5037/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m52s, execs: 4811993 (8663/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m55s, execs: 4838189 (8732/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 8m58s, execs: 4864238 (8683/sec), new interesting: 211 (total: 1389)
