fuzz: elapsed: 0s, gathering baseline coverage: 0/2 completed
fuzz: elapsed: 6m6s, execs: 10816145 (35025/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m9s, execs: 10959694 (47851/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m12s, execs: 11104452 (48250/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m15s, execs: 11239058 (44878/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m18s, execs: 11364531 (41812/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m21s, execs: 11499016 (44840/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m24s, execs: 11651330 (50775/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m27s, execs: 11805427 (51349/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m30s, execs: 11959409 (51305/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m33s, execs: 12043998 (28212/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m36s, execs: 12158122 (38047/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m39s, execs: 12287611 (43163/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m42s, execs: 12389771 (34043/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m45s, execs: 12506696 (38978/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m48s, execs: 12638702 (44000/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m51s, execs: 12781041 (47449/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m54s, execs: 12899421 (39451/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m57s, execs: 13030384 (43621/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m0s, execs: 13152329 (40689/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m3s, execs: 13286941 (44875/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m6s, execs: 13424186 (45736/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m9s, execs: 13563712 (46489/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m12s, execs: 13675288 (37214/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m15s, execs: 13787420 (37384/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m18s, execs: 13912504 (41689/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m21s, execs: 14045574 (44354/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m24s, execs: 14184198 (46205/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m27s, execs: 14301861 (39201/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m30s, execs: 14443251 (47156/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m33s, execs: 14589294 (48683/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m36s, execs: 14738206 (49561/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m39s, execs: 14894975 (52348/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m42s, execs: 15044310 (49763/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m45s, execs: 15201632 (52441/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m48s, execs: 15388954 (62451/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m51s, execs: 15563779 (58266/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m54s, execs: 15757997 (64739/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 7m57s, execs: 15909786 (50600/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 8m0s, execs: 16062434 (50891/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 8m0s, execs: 16062434 (0/sec), new interesting: 135 (total: 137)
PASS
ok  	github.com/DataDog/dd-iast-go/internal/taint/evidence	480.768s
EXIT=0
